Estació,Subregió,% mesos sòl molt sec fase negativa,% mesos sòl molt sec fase neutral,% mesos sòl molt sec fase positiva,Diferència positiva - negativa
Hivern,Catalunya-Balears,7.142857142857142,4.3478260869565215,31.88405797101449,24.741200828157346
Hivern,Golf del Lleó,3.571428571428571,4.3478260869565215,15.942028985507244,12.370600414078673
Hivern,Llevant Ibèric,21.428571428571427,21.73913043478261,49.275362318840585,27.84679089026916
Hivern,Mediterrani central occidental,7.142857142857142,4.3478260869565215,34.78260869565217,27.63975155279503
Hivern,,9.821428571428571,8.695652173913043,32.971014492753625,23.149585921325055
Primavera,Catalunya-Balears,20.0,25.0,50.0,30.0
Primavera,Golf del Lleó,15.0,10.714285714285714,28.846153846153843,13.846153846153843
Primavera,Llevant Ibèric,20.0,39.285714285714285,46.15384615384615,26.153846153846153
Primavera,Mediterrani central occidental,25.0,28.57142857142857,34.61538461538461,9.615384615384613
Primavera,,20.0,25.892857142857146,39.90384615384615,19.903846153846153
Estiu,Catalunya-Balears,26.31578947368421,31.57894736842105,18.181818181818183,-8.133971291866025
Estiu,Golf del Lleó,24.561403508771928,52.63157894736842,18.181818181818183,-6.379585326953745
Estiu,Llevant Ibèric,21.052631578947366,5.263157894736842,11.363636363636363,-9.688995215311003
Estiu,Mediterrani central occidental,12.280701754385964,21.052631578947366,9.090909090909092,-3.1897926634768723
Estiu,,21.052631578947366,27.631578947368425,14.204545454545455,-6.848086124401911
Tardor,Catalunya-Balears,19.696969696969695,18.181818181818183,40.625,20.928030303030305
Tardor,Golf del Lleó,16.666666666666664,22.727272727272727,40.625,23.958333333333336
Tardor,Llevant Ibèric,21.21212121212121,45.45454545454545,50.0,28.78787878787879
Tardor,Mediterrani central occidental,30.303030303030305,36.36363636363637,43.75,13.446969696969695
Tardor,,21.96969696969697,30.681818181818183,43.75,21.78030303030303
