Fase NAO,Estació,Subregió,% mesos amb sòl molt sec,N mesos,N mesos amb sòl molt sec,Mesos sense sòl molt sec
Negativa,Hivern,Totes,9.821428571428571,112,11,101
Neutral,Hivern,Totes,8.695652173913043,92,8,84
Positiva,Hivern,Totes,32.971014492753625,276,91,185
Negativa,Primavera,Totes,20.0,160,32,128
Neutral,Primavera,Totes,25.892857142857146,112,29,83
Positiva,Primavera,Totes,39.90384615384615,208,83,125
Negativa,Estiu,Totes,21.052631578947366,228,48,180
Neutral,Estiu,Totes,27.631578947368425,76,21,55
Positiva,Estiu,Totes,14.204545454545455,176,25,151
Negativa,Tardor,Totes,21.96969696969697,264,58,206
Neutral,Tardor,Totes,30.681818181818183,88,27,61
Positiva,Tardor,Totes,43.75,128,56,72
Negativa,Hivern,Catalunya-Balears,7.142857142857142,28,2,26
Neutral,Hivern,Catalunya-Balears,4.3478260869565215,23,1,22
Positiva,Hivern,Catalunya-Balears,31.88405797101449,69,22,47
Negativa,Primavera,Catalunya-Balears,20.0,40,8,32
Neutral,Primavera,Catalunya-Balears,25.0,28,7,21
Positiva,Primavera,Catalunya-Balears,50.0,52,26,26
Negativa,Estiu,Catalunya-Balears,26.31578947368421,57,15,42
Neutral,Estiu,Catalunya-Balears,31.57894736842105,19,6,13
Positiva,Estiu,Catalunya-Balears,18.181818181818183,44,8,36
Negativa,Tardor,Catalunya-Balears,19.696969696969695,66,13,53
Neutral,Tardor,Catalunya-Balears,18.181818181818183,22,4,18
Positiva,Tardor,Catalunya-Balears,40.625,32,13,19
Negativa,Hivern,Golf del Lleó,3.571428571428571,28,1,27
Neutral,Hivern,Golf del Lleó,4.3478260869565215,23,1,22
Positiva,Hivern,Golf del Lleó,15.942028985507244,69,11,58
Negativa,Primavera,Golf del Lleó,15.0,40,6,34
Neutral,Primavera,Golf del Lleó,10.714285714285714,28,3,25
Positiva,Primavera,Golf del Lleó,28.846153846153843,52,15,37
Negativa,Estiu,Golf del Lleó,24.561403508771928,57,14,43
Neutral,Estiu,Golf del Lleó,52.63157894736842,19,10,9
Positiva,Estiu,Golf del Lleó,18.181818181818183,44,8,36
Negativa,Tardor,Golf del Lleó,16.666666666666664,66,11,55
Neutral,Tardor,Golf del Lleó,22.727272727272727,22,5,17
Positiva,Tardor,Golf del Lleó,40.625,32,13,19
Negativa,Hivern,Llevant Ibèric,21.428571428571427,28,6,22
Neutral,Hivern,Llevant Ibèric,21.73913043478261,23,5,18
Positiva,Hivern,Llevant Ibèric,49.275362318840585,69,34,35
Negativa,Primavera,Llevant Ibèric,20.0,40,8,32
Neutral,Primavera,Llevant Ibèric,39.285714285714285,28,11,17
Positiva,Primavera,Llevant Ibèric,46.15384615384615,52,24,28
Negativa,Estiu,Llevant Ibèric,21.052631578947366,57,12,45
Neutral,Estiu,Llevant Ibèric,5.263157894736842,19,1,18
Positiva,Estiu,Llevant Ibèric,11.363636363636363,44,5,39
Negativa,Tardor,Llevant Ibèric,21.21212121212121,66,14,52
Neutral,Tardor,Llevant Ibèric,45.45454545454545,22,10,12
Positiva,Tardor,Llevant Ibèric,50.0,32,16,16
Negativa,Hivern,Mediterrani central occidental,7.142857142857142,28,2,26
Neutral,Hivern,Mediterrani central occidental,4.3478260869565215,23,1,22
Positiva,Hivern,Mediterrani central occidental,34.78260869565217,69,24,45
Negativa,Primavera,Mediterrani central occidental,25.0,40,10,30
Neutral,Primavera,Mediterrani central occidental,28.57142857142857,28,8,20
Positiva,Primavera,Mediterrani central occidental,34.61538461538461,52,18,34
Negativa,Estiu,Mediterrani central occidental,12.280701754385964,57,7,50
Neutral,Estiu,Mediterrani central occidental,21.052631578947366,19,4,15
Positiva,Estiu,Mediterrani central occidental,9.090909090909092,44,4,40
Negativa,Tardor,Mediterrani central occidental,30.303030303030305,66,20,46
Neutral,Tardor,Mediterrani central occidental,36.36363636363637,22,8,14
Positiva,Tardor,Mediterrani central occidental,43.75,32,14,18
