Estació,Fase WeMO,Variable,Unitat,Anomalia mitjana,N mesos
Hivern,Negativa,SST,°C,0.027384549227272726,132
Hivern,Negativa,Temperatura,°C,0.11684548522727271,132
Primavera,Negativa,SST,°C,0.1688830607734375,192
Primavera,Negativa,Temperatura,°C,0.2793857716536458,192
Estiu,Negativa,SST,°C,0.23619054077034884,172
Estiu,Negativa,Temperatura,°C,0.2948415349616279,172
Tardor,Negativa,SST,°C,0.33096747483913047,184
Tardor,Negativa,Temperatura,°C,0.4313486445527174,184
Hivern,Positiva,SST,°C,0.11170382847906976,172
Hivern,Positiva,Temperatura,°C,0.3337937155145349,172
Primavera,Positiva,SST,°C,-0.32447636234264704,136
Primavera,Positiva,Temperatura,°C,-0.5878465547058823,136
Estiu,Positiva,SST,°C,-0.12077820869632351,136
Estiu,Positiva,Temperatura,°C,-0.13542414510294118,136
Tardor,Positiva,SST,°C,-0.5506726540772059,136
Tardor,Positiva,Temperatura,°C,-0.5967456608455882,136
