subregio,teleconnexio,variable,correlacio
Llevant_Iberic,nao,anomalia_temperatura,0.12280295885441829
Llevant_Iberic,nao,anomalia_precipitacio_mensual_mm,-0.2540280790606544
Llevant_Iberic,nao,anomalia_humitat_sol_capa1,-0.22358773904952337
Llevant_Iberic,nao,anomalia_sst,0.11000295085771901
Llevant_Iberic,wemo,anomalia_temperatura,-0.14049713191932636
Llevant_Iberic,wemo,anomalia_precipitacio_mensual_mm,-0.342504601358255
Llevant_Iberic,wemo,anomalia_humitat_sol_capa1,-0.29124057172678824
Llevant_Iberic,wemo,anomalia_sst,-0.2345595163408973
Llevant_Iberic,roni,anomalia_temperatura,0.02445954522920427
Llevant_Iberic,roni,anomalia_precipitacio_mensual_mm,0.01913505137303658
Llevant_Iberic,roni,anomalia_humitat_sol_capa1,0.011300788291354048
Llevant_Iberic,roni,anomalia_sst,0.0024908744463439905
Catalunya_Balears,nao,anomalia_temperatura,0.20273397642591237
Catalunya_Balears,nao,anomalia_precipitacio_mensual_mm,-0.33968932510069355
Catalunya_Balears,nao,anomalia_humitat_sol_capa1,-0.2309615943578063
Catalunya_Balears,nao,anomalia_sst,0.12429961183118185
Catalunya_Balears,wemo,anomalia_temperatura,-0.2577832327100808
Catalunya_Balears,wemo,anomalia_precipitacio_mensual_mm,-0.15356030976862578
Catalunya_Balears,wemo,anomalia_humitat_sol_capa1,-0.06142400860564291
Catalunya_Balears,wemo,anomalia_sst,-0.2567382710858284
Catalunya_Balears,roni,anomalia_temperatura,0.04421504445920054
Catalunya_Balears,roni,anomalia_precipitacio_mensual_mm,0.016530510408870543
Catalunya_Balears,roni,anomalia_humitat_sol_capa1,0.03931440136064356
Catalunya_Balears,roni,anomalia_sst,0.00936161717538964
Golf_Lleo,nao,anomalia_temperatura,0.2976012567674412
Golf_Lleo,nao,anomalia_precipitacio_mensual_mm,-0.32729441282096045
Golf_Lleo,nao,anomalia_humitat_sol_capa1,-0.20777983013504275
Golf_Lleo,nao,anomalia_sst,0.1355376982331216
Golf_Lleo,wemo,anomalia_temperatura,-0.28852539931693777
Golf_Lleo,wemo,anomalia_precipitacio_mensual_mm,0.18854336827925466
Golf_Lleo,wemo,anomalia_humitat_sol_capa1,0.22675580317985852
Golf_Lleo,wemo,anomalia_sst,-0.2733059544632147
Golf_Lleo,roni,anomalia_temperatura,0.058600921192370696
Golf_Lleo,roni,anomalia_precipitacio_mensual_mm,0.02259643033338168
Golf_Lleo,roni,anomalia_humitat_sol_capa1,0.06060461358214635
Golf_Lleo,roni,anomalia_sst,0.07946078500616509
Mediterrani_Central_Occidental,nao,anomalia_temperatura,0.1218412413714045
Mediterrani_Central_Occidental,nao,anomalia_precipitacio_mensual_mm,-0.3490925945226124
Mediterrani_Central_Occidental,nao,anomalia_humitat_sol_capa1,-0.2387483629520648
Mediterrani_Central_Occidental,nao,anomalia_sst,0.0867702411464371
Mediterrani_Central_Occidental,wemo,anomalia_temperatura,-0.2538601910498717
Mediterrani_Central_Occidental,wemo,anomalia_precipitacio_mensual_mm,0.07842286035244238
Mediterrani_Central_Occidental,wemo,anomalia_humitat_sol_capa1,0.08954228530992178
Mediterrani_Central_Occidental,wemo,anomalia_sst,-0.2697340207266639
Mediterrani_Central_Occidental,roni,anomalia_temperatura,0.07714181098411955
Mediterrani_Central_Occidental,roni,anomalia_precipitacio_mensual_mm,-0.011377719199377275
Mediterrani_Central_Occidental,roni,anomalia_humitat_sol_capa1,0.010750256248864064
Mediterrani_Central_Occidental,roni,anomalia_sst,0.06164898643635411
