periode,subregio,mes_molt_calid,mes_molt_sec,sol_molt_sec,episodi_calid_i_sec,episodi_calid_i_sol_sec
1981-1990,Catalunya_Balears,5.0,8.333333333333332,22.5,0.0,0.8333333333333334
1981-1990,Golf_Lleo,12.5,23.333333333333332,19.166666666666668,5.0,3.3333333333333335
1981-1990,Llevant_Iberic,8.333333333333332,5.0,23.333333333333332,0.8333333333333334,2.5
1981-1990,Mediterrani_Central_Occidental,6.666666666666667,11.666666666666666,28.333333333333332,0.8333333333333334,2.5
1991-2000,Catalunya_Balears,10.833333333333334,7.5,24.166666666666668,2.5,4.166666666666666
1991-2000,Golf_Lleo,16.666666666666664,17.5,15.0,5.833333333333333,2.5
1991-2000,Llevant_Iberic,10.833333333333334,5.0,35.833333333333336,1.6666666666666667,4.166666666666666
1991-2000,Mediterrani_Central_Occidental,7.5,7.5,25.833333333333336,1.6666666666666667,2.5
2001-2010,Catalunya_Balears,12.5,5.0,29.166666666666668,2.5,6.666666666666667
2001-2010,Golf_Lleo,23.333333333333332,20.833333333333336,23.333333333333332,6.666666666666667,6.666666666666667
2001-2010,Llevant_Iberic,17.5,2.5,28.333333333333332,1.6666666666666667,10.0
2001-2010,Mediterrani_Central_Occidental,11.666666666666666,5.0,20.833333333333336,1.6666666666666667,4.166666666666666
2011-2020,Catalunya_Balears,30.833333333333336,11.666666666666666,28.333333333333332,5.833333333333333,11.666666666666666
2011-2020,Golf_Lleo,40.833333333333336,17.5,24.166666666666668,10.0,14.166666666666666
2011-2020,Llevant_Iberic,24.166666666666668,2.5,34.166666666666664,1.6666666666666667,12.5
2011-2020,Mediterrani_Central_Occidental,30.0,10.0,25.0,5.0,10.833333333333334
