estacio,fase_enso,anomalia_temperatura,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst
Winter,La Nina,-0.12522818628369564,1.2537334134427676,-0.00037910559644021717,-0.059491540697826084
Winter,Neutral,0.1777767833272059,0.701804511741777,0.0017257563907352941,-0.06426196819632353
Winter,El Nino,-0.007097967418750012,-2.038327260439691,-0.0010309204514374999,0.12303759990875
Spring,La Nina,0.0800443493882353,6.7620346491170285,0.0065741488215441185,0.012004459239705882
Spring,Neutral,0.08908671222633928,-0.328480013431648,0.0021132158011607145,0.09214704455625
Spring,El Nino,-0.2570133518166667,-7.050476577260221,-0.011395357293583335,-0.1856125209625
Summer,La Nina,-0.0030978508425925913,-1.257647433085152,0.0024446113500370373,0.05577475829444444
Summer,Neutral,0.11448100136491936,-1.415070966031729,-0.0017047269934100807,0.12349257861290322
Summer,El Nino,-0.22626328025806453,3.92551227700859,0.001280280578467742,-0.295563497733871
Autumn,La Nina,-0.1518260431455128,-6.717860207358042,-0.007990002258461538,-0.06239683981410256
Autumn,Neutral,-0.10349601788238637,1.525207646296952,0.001568908697659091,-0.11215587265965908
Autumn,El Nino,0.28310933359459456,5.267227341889126,0.006556158091148648,0.19914385455472974
