estacio,fase_nao,anomalia_temperatura,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst
Winter,Negative,-0.38449656936607146,15.74336592783428,0.013619671898750001,-0.19087636342589284
Winter,Neutral,-0.2874174165326087,6.0276938273692915,0.009340719993097825,-0.048596807336956524
Winter,Positive,0.25183333173659417,-8.397843536360195,-0.008640396104565217,0.0936558108731884
Spring,Negative,-0.25591907166375,8.011825432712213,0.0129291164409375,-0.1608406651525
Spring,Neutral,-0.005620977098214281,1.3223613343168323,-0.0009778301419642854,0.03154367935714287
Spring,Positive,0.19988679682067306,-6.8749833590261495,-0.009418942070625,0.10673873201009616
Summer,Negative,0.09824394874999999,1.4888907329831884,0.0016710176240087719,0.119338746875
Summer,Neutral,0.23155306599342107,-5.453900801069654,-0.012406217922526316,0.11608941996052632
Summer,Positive,-0.22725897519886365,0.4263032600064019,0.0031925060625357955,-0.2047276734755682
Autumn,Negative,-0.13077920217045455,8.592525695730002,0.007225150506174242,-0.017543125437878785
Autumn,Neutral,0.030540690545454538,2.362308827194978,-0.0019108808685454545,0.05450554125
Autumn,Positive,0.2487355320234375,-19.346171566139674,-0.013588150322187499,-0.0012902549953124958
