estacio,fase_wemo,anomalia_temperatura,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst
Winter,Negative,0.11684548522727271,1.6122235018520088,0.0045584443257575755,0.027384549227272726
Winter,Neutral,-0.4138417139159091,3.2636126414295927,0.003968347758778409,-0.1297038305346591
Winter,Positive,0.3337937155145349,-4.5767984135818205,-0.007558974938255814,0.11170382847906976
Spring,Negative,0.2793857716536458,-0.7088400276824051,0.0028708387681770833,0.1688830607734375
Spring,Neutral,0.17305865868421053,-5.437800644004815,-0.01159888855480263,0.07699526007763158
Spring,Positive,-0.5878465547058823,7.078257229439366,0.00891052735882353,-0.32447636234264704
Summer,Negative,0.2948415349616279,-1.7637230096615006,-0.003029938469988372,0.23619054077034884
Summer,Neutral,-0.18776154990639535,0.43113213483065493,0.00244945094194186,-0.14069172649418604
Summer,Positive,-0.13542414510294118,1.6853355181684226,0.0007341498381786767,-0.12077820869632351
Autumn,Negative,0.4313486445527174,2.595027850082387,0.0016321376937934783,0.33096747483913047
Autumn,Neutral,0.011182992320625001,0.37482713257428213,0.0007573924045624998,0.087458846619375
Autumn,Positive,-0.5967456608455882,-3.951893129610621,-0.003099243709044118,-0.5506726540772059
