periode,subregio,mes_molt_calid,mes_molt_fred,mes_molt_sec,mes_molt_humit,sol_molt_sec,sol_molt_humit,episodi_calid_i_sec,episodi_fred_i_humit,episodi_calid_i_sol_sec
1981-1990,Llevant_Iberic,8.333333333333332,20.833333333333336,5.0,10.833333333333334,23.333333333333332,40.0,0.8333333333333334,2.5,2.5
1981-1990,Catalunya_Balears,5.0,20.0,8.333333333333332,10.833333333333334,22.5,34.166666666666664,0.0,3.3333333333333335,0.8333333333333334
1981-1990,Golf_Lleo,12.5,30.0,23.333333333333332,20.0,19.166666666666668,26.666666666666668,5.0,7.5,3.3333333333333335
1981-1990,Mediterrani_Central_Occidental,6.666666666666667,20.833333333333336,11.666666666666666,6.666666666666667,28.333333333333332,25.0,0.8333333333333334,5.0,2.5
1991-2000,Llevant_Iberic,10.833333333333334,18.333333333333332,5.0,6.666666666666667,35.833333333333336,21.666666666666668,1.6666666666666667,3.3333333333333335,4.166666666666666
1991-2000,Catalunya_Balears,10.833333333333334,20.0,7.5,8.333333333333332,24.166666666666668,23.333333333333332,2.5,2.5,4.166666666666666
1991-2000,Golf_Lleo,16.666666666666664,30.833333333333336,17.5,23.333333333333332,15.0,29.166666666666668,5.833333333333333,7.5,2.5
1991-2000,Mediterrani_Central_Occidental,7.5,18.333333333333332,7.5,4.166666666666666,25.833333333333336,23.333333333333332,1.6666666666666667,0.8333333333333334,2.5
2001-2010,Llevant_Iberic,17.5,12.5,2.5,13.333333333333334,28.333333333333332,30.0,1.6666666666666667,2.5,10.0
2001-2010,Catalunya_Balears,12.5,13.333333333333334,5.0,16.666666666666664,29.166666666666668,28.333333333333332,2.5,3.3333333333333335,6.666666666666667
2001-2010,Golf_Lleo,23.333333333333332,22.5,20.833333333333336,15.0,23.333333333333332,17.5,6.666666666666667,3.3333333333333335,6.666666666666667
2001-2010,Mediterrani_Central_Occidental,11.666666666666666,10.833333333333334,5.0,12.5,20.833333333333336,30.0,1.6666666666666667,1.6666666666666667,4.166666666666666
2011-2020,Llevant_Iberic,24.166666666666668,2.5,2.5,8.333333333333332,34.166666666666664,24.166666666666668,1.6666666666666667,0.0,12.5
2011-2020,Catalunya_Balears,30.833333333333336,5.0,11.666666666666666,11.666666666666666,28.333333333333332,25.833333333333336,5.833333333333333,0.8333333333333334,11.666666666666666
2011-2020,Golf_Lleo,40.833333333333336,11.666666666666666,17.5,19.166666666666668,24.166666666666668,15.0,10.0,2.5,14.166666666666666
2011-2020,Mediterrani_Central_Occidental,30.0,2.5,10.0,15.0,25.0,28.333333333333332,5.0,0.8333333333333334,10.833333333333334
