model,term,coef,p_value,ci_low,ci_high,r_squared,n,q_fdr
precipitacio,Intercept,3.925633561341791,0.006595782408458316,1.093371715280293,6.757895407403289,0.1070285991496972,1920,0.029314588482036958
precipitacio,C(subregio)[T.Catalunya_Balears],2.4373537775695343e-15,0.9999999999999987,-2.8614359412885806,2.861435941288585,0.1070285991496972,1920,0.9999999999999997
precipitacio,C(subregio)[T.Golf_Lleo],7.756041288117558e-15,0.9999999999999968,-3.7322104138334566,3.7322104138334717,0.1070285991496972,1920,0.9999999999999997
precipitacio,C(subregio)[T.Mediterrani_Central_Occidental],7.28977137102403e-16,0.9999999999999996,-2.8005284143011386,2.8005284143011404,0.1070285991496972,1920,0.9999999999999997
precipitacio,C(estacio)[T.Spring],-3.0804497663771353,0.07055701888026145,-6.419226758061049,0.2583272253067781,0.1070285991496972,1920,0.17639254720065362
precipitacio,C(estacio)[T.Summer],-5.340348326163681,0.00031869986499802084,-8.248136226545881,-2.4325604257814804,0.1070285991496972,1920,0.0018211420857029762
precipitacio,C(estacio)[T.Autumn],-6.526126646990825,0.0011621478573033501,-10.46422084183907,-2.588032452142579,0.1070285991496972,1920,0.005810739286516751
precipitacio,nao,-5.189478604340964,6.227970049458117e-51,-5.867064820533639,-4.511892388148289,0.1070285991496972,1920,2.491188019783247e-49
precipitacio,wemo,0.38135918796529317,0.5408657716980254,-0.8409548204113664,1.6036731963419526,0.1070285991496972,1920,0.9014429528300424
precipitacio,roni,1.3103952642191472,0.050671781604215205,-0.0038321317941405475,2.624622660232435,0.1070285991496972,1920,0.13512475094457388
humitat_sol,Intercept,0.0035509662236256167,0.12171180875575471,-0.0009460863406554406,0.008048018787906674,0.056083445967945345,1920,0.27047068612389935
humitat_sol,C(subregio)[T.Catalunya_Balears],-1.159816666707181e-09,0.9999996027619564,-0.004565903976865447,0.004565901657232114,0.056083445967945345,1920,0.9999999999999997
humitat_sol,C(subregio)[T.Golf_Lleo],2.2061937531781104e-09,0.9999992245627393,-0.0044492306682973135,0.004449235080684819,0.056083445967945345,1920,0.9999999999999997
humitat_sol,C(subregio)[T.Mediterrani_Central_Occidental],8.253797986115311e-10,0.9999997364883016,-0.004898262037678376,0.004898263688437972,0.056083445967945345,1920,0.9999999999999997
humitat_sol,C(estacio)[T.Spring],-0.0028847273328771253,0.1887345031979364,-0.007186503200664657,0.0014170485349104065,0.056083445967945345,1920,0.39733579620618187
humitat_sol,C(estacio)[T.Summer],-0.004935737609259552,0.009576257692727004,-0.00866971739901151,-0.0012017578195075936,0.056083445967945345,1920,0.034822755246280014
humitat_sol,C(estacio)[T.Autumn],-0.005981124175752235,0.008302100361737334,-0.01042236435054031,-0.0015398840009641594,0.056083445967945345,1920,0.03320840144694934
humitat_sol,nao,-0.004647897541809699,5.1158408430786176e-27,-0.005494245495776588,-0.0038015495878428104,0.056083445967945345,1920,5.115840843078618e-26
humitat_sol,wemo,-0.0002570701940337286,0.728622503855012,-0.0017092563660859096,0.0011951159780184523,0.056083445967945345,1920,0.9999999999999997
humitat_sol,roni,0.0019123869344275725,0.023024609314994404,0.00026339153785786,0.0035613823309972852,0.056083445967945345,1920,0.07084495173844432
temperatura,Intercept,-0.0808591924469527,0.21847823940132793,-0.2096444016936122,0.047926016799706816,0.11296895893029402,1920,0.4369564788026558
temperatura,C(subregio)[T.Catalunya_Balears],-5.9308958870746136e-08,0.9999992135738741,-0.11793717982335597,0.11793706120543823,0.11296895893029402,1920,0.9999999999999997
temperatura,C(subregio)[T.Golf_Lleo],1.7786458261813003e-07,0.9999980480872889,-0.14250060091317018,0.14250095664233542,0.11296895893029402,1920,0.9999999999999997
temperatura,C(subregio)[T.Mediterrani_Central_Occidental],1.132041661530654e-07,0.9999984695788613,-0.11567491310182546,0.11567513951015776,0.11296895893029402,1920,0.9999999999999997
temperatura,C(estacio)[T.Spring],0.019587413268353965,0.7753966426846713,-0.11496400965186361,0.15413883618857155,0.11296895893029402,1920,0.9999999999999997
temperatura,C(estacio)[T.Summer],0.0691933028201536,0.3553847377518715,-0.07754668646812596,0.21593329210843315,0.11296895893029402,1920,0.6769233100035648
temperatura,C(estacio)[T.Autumn],0.11690201142183168,0.10290833980397285,-0.023585866706962028,0.25738988955062536,0.11296895893029402,1920,0.24213727012699493
temperatura,nao,0.1400942635049131,1.2338751464855833e-23,0.11269353095219722,0.167494996057629,0.11296895893029402,1920,9.871001171884665e-23
temperatura,wemo,-0.26773633914158934,4.058101197122941e-40,-0.3073166191526717,-0.22815605913050693,0.11296895893029402,1920,8.116202394245881e-39
temperatura,roni,0.05460743244962355,0.02515183156844906,0.00680680719461358,0.10240805770463351,0.11296895893029402,1920,0.07186237590985446
sst,Intercept,-0.028314384665633373,0.4109333386611529,-0.09580604943749474,0.03917728010622799,0.09207550114139873,1920,0.7146666759324398
sst,C(subregio)[T.Catalunya_Balears],-2.2009958363873745e-07,0.9999957595034779,-0.08116930731427832,0.08116886711511104,0.09207550114139873,1920,0.9999999999999997
sst,C(subregio)[T.Golf_Lleo],-2.640520836539117e-07,0.9999956481296927,-0.09488619156120255,0.09488566345703524,0.09207550114139873,1920,0.9999999999999997
sst,C(subregio)[T.Mediterrani_Central_Occidental],-1.525375018421919e-08,0.9999997198260784,-0.08514068713288249,0.08514065662538213,0.09207550114139873,1920,0.9999999999999997
sst,C(estacio)[T.Spring],-0.010364232814204104,0.7616866854934952,-0.07734662379445997,0.05661815816605176,0.09207550114139873,1920,0.9999999999999997
sst,C(estacio)[T.Summer],0.008538311740721316,0.8686472461599337,-0.09265340336150661,0.10973002684294923,0.09207550114139873,1920,0.9999999999999997
sst,C(estacio)[T.Autumn],0.03499486426100276,0.40453148904874525,-0.0472896032255781,0.11727933174758362,0.09207550114139873,1920,0.7146666759324398
sst,nao,0.06277858307879589,6.494895895283206e-12,0.04486397892971732,0.08069318722787444,0.09207550114139873,1920,4.3299305968554705e-11
sst,wemo,-0.1953203563760498,5.6476395592161704e-36,-0.2258918264186388,-0.1647488863334608,0.09207550114139873,1920,7.530186078954894e-35
sst,roni,0.03791651124641329,0.019882454245700266,0.0060019216219063184,0.06983110087092026,0.09207550114139873,1920,0.06627484748566755
